"","FJ461303","KP723473","FJ196847","FJ196846","FJ196845","FJ196842","GU131863","EU848545","GU131792","JQ915076","JQ922546","AY732483","FJ898385","LC011949","KC692498","EU482814","FJ882548","HM181971","JQ955624","JX475906","KC294216","KC131142","JQ922549","JQ922550","KC964095","JQ922551","JQ922552","JQ922553","FJ410195","DQ181801","EU482666","FJ744745","AY858037","KF041254","JQ922555","KC762690","KF954948","KJ579242","KF041260","FJ196849","FJ024476"
"KC692498",4825,4440,4350,5166,4496,5804,3624,3728,4850,6492,3520,3714,4340,5330,0,4398,4662,19229,21823,16123,18007,22429,19701,12933,17013,19105,12915,15459,17313,19663,16399,19379,10728,13498,11640,12668,12854,16873,18591,17559,17885
"EU482814",913,5578,2132,4316,2764,2706,3702,3310,1844,4592,3654,2038,1432,948,4398,0,1078,14055,19233,14771,14181,19527,17401,13635,12523,16231,14681,14237,13183,16201,12471,14809,10458,13494,13148,11834,12982,17539,20977,20007,18739
"FJ882548",1205,5144,2870,4870,3140,3772,3988,2878,1960,6056,3618,2246,1772,1010,4662,1078,0,14027,19579,14629,14637,20629,17209,13241,13903,16899,14819,14117,14847,15985,12811,15665,9584,12766,11456,10148,12708,16219,19749,18609,17933
"HM181971",14148,17005,17695,18951,15519,15255,15077,18007,16205,15673,14831,17299,15327,13487,19229,14055,14027,0,6976,5602,2054,7678,5614,6102,4888,5060,8662,6730,5082,2678,1964,1152,14803,17577,17243,16209,18291,29400,30142,30608,28860
"JQ955624",19242,17575,20769,21459,20493,19059,18119,20677,22041,17207,19417,20929,20371,19069,21823,19233,19579,6976,0,2724,4688,5152,1748,6690,5224,3094,6544,6046,7102,6326,6910,6594,15895,16767,18953,17083,15967,25654,25768,27220,25744
"JX475906",14848,15329,18125,19269,16779,15545,14543,16827,18617,15911,16281,17691,16927,14667,16123,14771,14629,5602,2724,0,4130,4308,2876,5342,5174,4100,6164,5978,6772,4564,4108,6530,13437,14721,15675,12995,14601,22886,23628,24048,22308
"KC294216",14282,16559,16875,17835,15873,15221,15149,17719,16229,14247,15095,16349,15213,13597,18007,14181,14637,2054,4688,4130,0,5452,4186,5776,4344,4564,7650,7192,5060,1720,1918,2444,13979,17549,17983,15823,18419,27094,29000,29336,26980
"KC131142",20224,20059,24111,23627,21349,18975,20875,22737,24485,18703,21831,22695,22813,19471,22429,19527,20629,7678,5152,4308,5452,0,6078,9336,6580,7800,10532,10206,9010,6342,6172,8494,17277,17701,19879,17383,18015,27934,28386,29704,27108
"JQ922549",17110,15037,19775,19751,18127,18115,16313,18531,19539,15841,17307,19017,18203,16871,19701,17401,17209,5614,1748,2876,4186,6078,0,4370,4726,2238,4754,4180,6212,4722,5420,5842,15659,16779,18191,15787,16319,22672,22866,24720,23122
"JQ922550",14100,12239,15387,14629,12419,13545,11569,14121,14835,12329,12837,14643,13467,12719,12933,13635,13241,6102,6690,5342,5776,9336,4370,0,5012,5670,1906,3208,6034,5792,5352,6708,11329,14821,13511,12001,14557,19662,19286,20596,19944
"KC964095",13082,14889,15679,15955,14521,13751,13345,15853,15089,12775,14817,16017,13755,11923,17013,12523,13903,4888,5224,5174,4344,6580,4726,5012,0,3886,6082,5342,2332,5480,4966,4526,13311,17725,18771,15281,17019,24674,25190,27268,25182
"JQ922551",16674,16023,18227,20297,18085,17161,15155,18827,18847,16163,16401,18735,17127,16413,19105,16231,16899,5060,3094,4100,4564,7800,2238,5670,3886,0,6412,4204,4686,6026,5790,4372,15587,18007,19263,18181,17113,25678,26738,27406,25386
"JQ922552",15574,11759,15931,13943,12965,13943,12255,14099,15025,11537,13667,15103,14087,14471,12915,14681,14819,8662,6544,6164,7650,10532,4754,1906,6082,6412,0,3920,7654,8522,8054,8902,13481,16447,15931,14623,15105,20240,18778,20618,20550
"JQ922553",14666,13669,16645,15869,14703,15241,11435,15273,15171,13389,14053,16589,14239,14123,15459,14237,14117,6730,6046,5978,7192,10206,4180,3208,5342,4204,3920,0,6138,6774,6542,6490,12963,15603,15203,14163,15061,20388,20630,22080,20452
"FJ410195",13970,16639,15935,16955,14695,13283,14009,15829,15529,13527,15269,16229,14429,12951,17313,13183,14847,5082,7102,6772,5060,9010,6212,6034,2332,4686,7654,6138,0,7044,4758,4076,15309,18601,19793,18859,17543,27728,29488,29654,28472
"DQ181801",15726,17825,20237,19407,17549,17009,15999,19023,18491,15693,17419,19069,17721,14997,19663,16201,15985,2678,6326,4564,1720,6342,4722,5792,5480,6026,8522,6774,7044,0,1706,3328,14981,18347,18517,14883,20169,26424,27252,28624,25946
"EU482666",12744,15879,16555,17465,14635,13539,13115,16129,14963,13909,14401,15769,14261,11895,16399,12471,12811,1964,6910,4108,1918,6172,5420,5352,4966,5790,8054,6542,4758,1706,0,2818,13351,16411,16181,14405,17591,26862,28540,28874,26308
"FJ744745",14670,18149,17683,19675,16899,16271,15379,19369,16809,16137,15685,17781,15865,14605,19379,14809,15665,1152,6594,6530,2444,8494,5842,6708,4526,4372,8902,6490,4076,3328,2818,0,15271,18135,18063,18411,18737,31894,33118,33714,31552
"AY858037",10991,10430,10962,11362,10212,11178,12424,12916,11322,12094,10816,11362,10016,9690,10728,10458,9584,14803,15895,13437,13979,17277,15659,11329,13311,15587,13481,12963,15309,14981,13351,15271,0,3810,3184,2586,4684,16591,22069,19835,17869
"KF041254",14281,12162,14608,15952,12922,14262,16124,16294,16080,16022,13916,14806,15192,13434,13498,13494,12766,17577,16767,14721,17549,17701,16779,14821,17725,18007,16447,15603,18601,18347,16411,18135,3810,0,2898,5020,1152,18127,23807,21317,20145
"JQ922555",13415,12128,13698,15032,12068,14220,14644,14778,14830,16280,12694,12988,13934,13216,11640,13148,11456,17243,18953,15675,17983,19879,18191,13511,18771,19263,15931,15203,19793,18517,16181,18063,3184,2898,0,4172,3926,16905,22607,19983,18677
"KC762690",12001,11408,14214,13452,11676,13070,14302,13022,14136,14108,13126,13436,12948,10704,12668,11834,10148,16209,17083,12995,15823,17383,15787,12001,15281,18181,14623,14163,18859,14883,14405,18411,2586,5020,4172,0,6404,13469,17171,16203,14321
"KF954948",14551,10998,14216,15638,12666,13656,15148,15648,15536,15270,13422,14436,14286,13344,12854,12982,12708,18291,15967,14601,18419,18015,16319,14557,17019,17113,15105,15061,17543,20169,17591,18737,4684,1152,3926,6404,0,19775,24075,22283,21703
"KJ579242",16626,15219,17505,15103,15821,15771,18823,13475,19093,16547,18529,15691,18401,17551,16873,17539,16219,29400,25654,22886,27094,27934,22672,19662,24674,25678,20240,20388,27728,26424,26862,31894,16591,18127,16905,13469,19775,0,3932,2612,1718
"KF041260",19780,15651,22067,17341,18887,18721,19211,15125,21549,18325,20631,19849,21259,20423,18591,20977,19749,30142,25768,23628,29000,28386,22866,19286,25190,26738,18778,20630,29488,27252,28540,33118,22069,23807,22607,17171,24075,3932,0,3300,4094
"FJ196849",19258,15287,19895,16817,17949,16071,19341,13969,21253,18191,19537,17791,20245,20155,17559,20007,18609,30608,27220,24048,29336,29704,24720,20596,27268,27406,20618,22080,29654,28624,28874,33714,19835,21317,19983,16203,22283,2612,3300,0,1538
"FJ024476",17844,16447,19709,17511,18279,16365,19375,15273,20567,18623,20021,17683,19583,19173,17885,18739,17933,28860,25744,22308,26980,27108,23122,19944,25182,25386,20550,20452,28472,25946,26308,31552,17869,20145,18677,14321,21703,1718,4094,1538,0
